pair	system	id	is_constrained	metric	score
ha-en	NiuTrans	382	True	bleu-all	16.512242686170477
ha-en	NiuTrans	382	True	chrf-all	0.4472476610676859
ha-en	NiuTrans	382	True	bleu-A	16.512242686170477
ha-en	NiuTrans	382	True	chrf-A	0.4472476610676859
ha-en	Online-B	1356	False	bleu-all	18.655658386586175
ha-en	Online-B	1356	False	chrf-all	0.4665821558973982
ha-en	Online-B	1356	False	bleu-A	18.655658386586175
ha-en	Online-B	1356	False	chrf-A	0.4665821558973982
ha-en	Facebook-AI	181	False	bleu-all	20.98270386271869
ha-en	Facebook-AI	181	False	chrf-all	0.48653769560105053
ha-en	Facebook-AI	181	False	bleu-A	20.98270386271869
ha-en	Facebook-AI	181	False	chrf-A	0.48653769560105053
ha-en	Manifold	437	True	bleu-all	16.943915209730182
ha-en	Manifold	437	True	chrf-all	0.4563835646403149
ha-en	Manifold	437	True	bleu-A	16.943915209730182
ha-en	Manifold	437	True	chrf-A	0.4563835646403149
ha-en	Online-Y	1374	False	bleu-all	13.898531329370583
ha-en	Online-Y	1374	False	chrf-all	0.44842874432536106
ha-en	Online-Y	1374	False	bleu-A	13.898531329370583
ha-en	Online-Y	1374	False	chrf-A	0.44842874432536106
ha-en	TWB	1335	False	bleu-all	12.326442718689176
ha-en	TWB	1335	False	chrf-all	0.40282629208468085
ha-en	TWB	1335	False	bleu-A	12.326442718689176
ha-en	TWB	1335	False	chrf-A	0.40282629208468085
ha-en	MS-EgDC	896	True	bleu-all	17.133349821070755
ha-en	MS-EgDC	896	True	chrf-all	0.45266273686943553
ha-en	MS-EgDC	896	True	bleu-A	17.133349821070755
ha-en	MS-EgDC	896	True	chrf-A	0.45266273686943553
ha-en	TRANSSION	336	False	bleu-all	18.834851157068947
ha-en	TRANSSION	336	False	chrf-all	0.4723827941663312
ha-en	TRANSSION	336	False	bleu-A	18.834851157068947
ha-en	TRANSSION	336	False	chrf-A	0.4723827941663312
ha-en	AMU	628	True	bleu-all	14.132845020089038
ha-en	AMU	628	True	chrf-all	0.41256569931047155
ha-en	AMU	628	True	bleu-A	14.132845020089038
ha-en	AMU	628	True	chrf-A	0.41256569931047155
ha-en	UEdin	1149	True	bleu-all	14.887835790629007
ha-en	UEdin	1149	True	chrf-all	0.42247415297561663
ha-en	UEdin	1149	True	bleu-A	14.887835790629007
ha-en	UEdin	1149	True	chrf-A	0.42247415297561663
ha-en	ZMT	553	False	bleu-all	18.837022728891235
ha-en	ZMT	553	False	chrf-all	0.47231473881237324
ha-en	ZMT	553	False	bleu-A	18.837022728891235
ha-en	ZMT	553	False	chrf-A	0.47231473881237324
ha-en	P3AI	715	True	bleu-all	17.793617378128875
ha-en	P3AI	715	True	chrf-all	0.46307402365121403
ha-en	P3AI	715	True	bleu-A	17.793617378128875
ha-en	P3AI	715	True	chrf-A	0.46307402365121403
ha-en	HuaweiTSC	758	True	bleu-all	17.492439721334712
ha-en	HuaweiTSC	758	True	chrf-all	0.46795736600685595
ha-en	HuaweiTSC	758	True	bleu-A	17.492439721334712
ha-en	HuaweiTSC	758	True	chrf-A	0.46795736600685595
ha-en	GTCOM	1298	False	bleu-all	17.79427161670506
ha-en	GTCOM	1298	False	chrf-all	0.4671483058222165
ha-en	GTCOM	1298	False	bleu-A	17.79427161670506
ha-en	GTCOM	1298	False	chrf-A	0.4671483058222165
en-zh	ICL	197	True	bleu-all	47.46616411676272
en-zh	ICL	197	True	chrf-all	0.29996625928473164
en-zh	ICL	197	True	bleu-B	33.32019705481978
en-zh	ICL	197	True	chrf-B	0.29996625928473164
en-zh	ICL	197	True	bleu-A	34.766461954945406
en-zh	ICL	197	True	chrf-A	0.31703445691318966
en-zh	BUPT_rush	1293	True	bleu-all	44.68902795212504
en-zh	BUPT_rush	1293	True	chrf-all	0.27809187355633685
en-zh	BUPT_rush	1293	True	bleu-B	31.073456626959114
en-zh	BUPT_rush	1293	True	chrf-B	0.27809187355633685
en-zh	BUPT_rush	1293	True	bleu-A	33.07203177891996
en-zh	BUPT_rush	1293	True	chrf-A	0.296179879271874
en-zh	Online-G	1328	False	bleu-all	43.159283543637635
en-zh	Online-G	1328	False	chrf-all	0.28824046560975214
en-zh	Online-G	1328	False	bleu-B	29.7151802040357
en-zh	Online-G	1328	False	chrf-B	0.28824046560975214
en-zh	Online-G	1328	False	bleu-A	31.135116559209795
en-zh	Online-G	1328	False	chrf-A	0.303637546276651
en-zh	HappyNewYear	179	True	bleu-all	48.01447036685407
en-zh	HappyNewYear	179	True	chrf-all	0.2775706639261918
en-zh	HappyNewYear	179	True	bleu-B	32.0646552772793
en-zh	HappyNewYear	179	True	chrf-B	0.2775706639261918
en-zh	HappyNewYear	179	True	bleu-A	35.6966292945705
en-zh	HappyNewYear	179	True	chrf-A	0.3001807091948736
en-zh	Online-Y	1376	False	bleu-all	43.945893178684955
en-zh	Online-Y	1376	False	chrf-all	0.27103157481220586
en-zh	Online-Y	1376	False	bleu-B	30.904646310673648
en-zh	Online-Y	1376	False	chrf-B	0.27103157481220586
en-zh	Online-Y	1376	False	bleu-A	31.96693692992776
en-zh	Online-Y	1376	False	chrf-A	0.28064227906242417
en-zh	windfall	1063	True	bleu-all	44.16188745166427
en-zh	windfall	1063	True	chrf-all	0.2687815325640279
en-zh	windfall	1063	True	bleu-B	30.29422217769456
en-zh	windfall	1063	True	chrf-B	0.2687815325640279
en-zh	windfall	1063	True	bleu-A	32.56529291892381
en-zh	windfall	1063	True	chrf-A	0.2824233594226318
en-zh	Machine_Translation	88	False	bleu-all	47.71005626872112
en-zh	Machine_Translation	88	False	chrf-all	0.2752804421368
en-zh	Machine_Translation	88	False	bleu-B	32.282278646679764
en-zh	Machine_Translation	88	False	chrf-B	0.2752804421368
en-zh	Machine_Translation	88	False	bleu-A	35.46083680129212
en-zh	Machine_Translation	88	False	chrf-A	0.2935081300714488
en-zh	HuaweiTSC	733	True	bleu-all	47.404675925182985
en-zh	HuaweiTSC	733	True	chrf-all	0.2792162830369539
en-zh	HuaweiTSC	733	True	bleu-B	32.26803706306602
en-zh	HuaweiTSC	733	True	chrf-B	0.2792162830369539
en-zh	HuaweiTSC	733	True	bleu-A	35.060878444417206
en-zh	HuaweiTSC	733	True	chrf-A	0.2981973191745943
en-zh	WeChat-AI	1288	True	bleu-all	49.245987361018074
en-zh	WeChat-AI	1288	True	chrf-all	0.30501807357542626
en-zh	WeChat-AI	1288	True	bleu-B	33.35400160180983
en-zh	WeChat-AI	1288	True	chrf-B	0.30501807357542626
en-zh	WeChat-AI	1288	True	bleu-A	36.91758020068849
en-zh	WeChat-AI	1288	True	chrf-A	0.33739037590788484
en-zh	Online-B	1358	False	bleu-all	48.48999047659073
en-zh	Online-B	1358	False	chrf-all	0.2989818862105517
en-zh	Online-B	1358	False	bleu-B	33.14301296088146
en-zh	Online-B	1358	False	chrf-B	0.2989818862105517
en-zh	Online-B	1358	False	bleu-A	36.02030032157105
en-zh	Online-B	1358	False	chrf-A	0.3207746585499881
en-zh	Facebook-AI	558	False	bleu-all	49.93415574218041
en-zh	Facebook-AI	558	False	chrf-all	0.3308310358845302
en-zh	Facebook-AI	558	False	bleu-B	35.28849324209287
en-zh	Facebook-AI	558	False	chrf-B	0.3308310358845302
en-zh	Facebook-AI	558	False	bleu-A	35.94159071725174
en-zh	Facebook-AI	558	False	chrf-A	0.3431009346153653
en-zh	bjtu_nmt	103	True	bleu-all	46.88081355824429
en-zh	bjtu_nmt	103	True	chrf-all	0.2739587696397413
en-zh	bjtu_nmt	103	True	bleu-B	32.53813108864669
en-zh	bjtu_nmt	103	True	chrf-B	0.2739587696397413
en-zh	bjtu_nmt	103	True	bleu-A	34.837451760584926
en-zh	bjtu_nmt	103	True	chrf-A	0.29510972302630745
en-zh	movelikeajaguar	53	True	bleu-all	43.66584147254004
en-zh	movelikeajaguar	53	True	chrf-all	0.25993635291238926
en-zh	movelikeajaguar	53	True	bleu-B	29.717729278538393
en-zh	movelikeajaguar	53	True	chrf-B	0.25993635291238926
en-zh	movelikeajaguar	53	True	bleu-A	32.70533018429786
en-zh	movelikeajaguar	53	True	chrf-A	0.27970019261172824
en-zh	Lan-Bridge-MT	857	False	bleu-all	44.551000017539096
