HITId	WorkerId	Input.src	Input.trg	Input.item	hit	sys_id	rid	type	sid	score	time
NA	evaluator5	zu	xh	ad	NA	"Online-G.1"	NA	SYSTEM	zu-xh-0-39-1000689.1_1	-1.45712122634691	0
NA	evaluator5	zu	xh	ad	NA	"Online-G.1"	NA	SYSTEM	zu-xh-0-39-1000689.2_2	-0.413903705061542	0
NA	evaluator5	zu	xh	ad	NA	"Online-G.1"	NA	SYSTEM	zu-xh-0-39-1000689.3_3	-0.711965854000218	0
NA	evaluator5	zu	xh	ad	NA	"Online-G.1"	NA	SYSTEM	zu-xh-0-44-1000684.1_1	-0.711965854000218	0
NA	evaluator5	zu	xh	ad	NA	"Online-G.1"	NA	SYSTEM	zu-xh-0-44-1000684.2_2	-1.01002800293889	0
NA	evaluator5	zu	xh	ad	NA	"Online-G.1"	NA	SYSTEM	zu-xh-0-44-1000684.3_3	-1.30809015187757	0
NA	evaluator5	zu	xh	ad	NA	"Online-G.1"	NA	SYSTEM	zu-xh-0-44-1000684.4_4	-1.45712122634691	0
NA	evaluator5	zu	xh	ad	NA	"GTCOM.3"	NA	SYSTEM	zu-xh-0-65-1000320.1_1	-0.115841556122867	0
NA	evaluator5	zu	xh	ad	NA	"GTCOM.3"	NA	SYSTEM	zu-xh-0-65-1000320.2_2	0.480282741754483	0
NA	evaluator5	zu	xh	ad	NA	"GTCOM.3"	NA	SYSTEM	zu-xh-0-65-1000320.3_3	-1.01002800293889	0
NA	evaluator5	zu	xh	ad	NA	"GTCOM.3"	NA	SYSTEM	zu-xh-0-65-1000320.4_4	-1.87440823486105	0
NA	evaluator5	zu	xh	ad	NA	"GTCOM.3"	NA	SYSTEM	zu-xh-0-105-1001096.1_1	-0.711965854000218	0
NA	evaluator5	zu	xh	ad	NA	"GTCOM.3"	NA	SYSTEM	zu-xh-0-105-1001096.2_2	0.778344890693158	0
NA	evaluator5	zu	xh	ad	NA	"GTCOM.3"	NA	SYSTEM	zu-xh-0-105-1001096.3_3	0.629313816223821	0
NA	evaluator5	zu	xh	ad	NA	"GTCOM.3"	NA	SYSTEM	zu-xh-0-105-1001096.4_4	0.331251667285146	0
NA	evaluator5	zu	xh	ad	NA	"GTCOM.3"	NA	SYSTEM	zu-xh-0-105-1001096.5_5	0.778344890693158	0
NA	evaluator5	zu	xh	ad	NA	"TRANSSION.2"	NA	SYSTEM	zu-xh-0-119-1000035.1_1	0.629313816223821	0
NA	evaluator5	zu	xh	ad	NA	"TRANSSION.2"	NA	SYSTEM	zu-xh-0-119-1000035.2_2	0.927375965162496	0
NA	evaluator5	zu	xh	ad	NA	"TRANSSION.2"	NA	SYSTEM	zu-xh-0-119-1000035.3_3	0.629313816223821	0
NA	evaluator5	zu	xh	ad	NA	"TRANSSION.2"	NA	SYSTEM	zu-xh-0-119-1000035.4_4	0.927375965162496	0
NA	evaluator5	zu	xh	ad	NA	"Online-G.1"	NA	SYSTEM	zu-xh-0-97-1000911.1_1	-0.711965854000218	0
NA	evaluator5	zu	xh	ad	NA	"Online-G.1"	NA	SYSTEM	zu-xh-0-97-1000911.2_2	-1.60615230081624	0
NA	evaluator5	zu	xh	ad	NA	"Online-G.1"	NA	SYSTEM	zu-xh-0-97-1000911.3_3	-1.45712122634691	0
NA	evaluator5	zu	xh	ad	NA	"MS-EgDC.4"	NA	SYSTEM	zu-xh-0-120-1000505.1_1	-1.15905907740823	0
NA	evaluator5	zu	xh	ad	NA	"MS-EgDC.4"	NA	SYSTEM	zu-xh-0-120-1000505.2_2	0.778344890693158	0
NA	evaluator5	zu	xh	ad	NA	"MS-EgDC.4"	NA	SYSTEM	zu-xh-0-120-1000505.3_3	-0.56293477953088	0
NA	evaluator5	zu	xh	ad	NA	"MS-EgDC.4"	NA	SYSTEM	zu-xh-0-120-1000505.4_4	0.331251667285146	0
NA	evaluator5	zu	xh	ad	NA	"MS-EgDC.4"	NA	SYSTEM	zu-xh-0-24-1000338.1_1	0.778344890693158	0
NA	evaluator5	zu	xh	ad	NA	"MS-EgDC.4"	NA	SYSTEM	zu-xh-0-24-1000338.2_2	0.629313816223821	0
NA	evaluator5	zu	xh	ad	NA	"MS-EgDC.4"	NA	SYSTEM	zu-xh-0-24-1000338.3_3	-0.413903705061542	0
NA	evaluator5	zu	xh	ad	NA	"TRANSSION.2"	NA	SYSTEM	zu-xh-0-13-1001318.1_1	0.331251667285146	0
NA	evaluator5	zu	xh	ad	NA	"TRANSSION.2"	NA	SYSTEM	zu-xh-0-13-1001318.2_2	0.927375965162496	0
NA	evaluator5	zu	xh	ad	NA	"TRANSSION.2"	NA	SYSTEM	zu-xh-0-13-1001318.3_3	0.778344890693158	0
NA	evaluator5	zu	xh	ad	NA	"TRANSSION.2"	NA	SYSTEM	zu-xh-0-13-1001318.4_4	0.927375965162496	0
NA	evaluator5	zu	xh	ad	NA	"TRANSSION.2"	NA	SYSTEM	zu-xh-0-13-1001318.5_5	0.778344890693158	0
NA	evaluator5	zu	xh	ad	NA	"GTCOM.3"	NA	SYSTEM	zu-xh-0-75-1000428.1_1	0.927375965162496	0
