SYS SID RAW.SCR Z.SCR N 
FJDMATH.0 xh-zu-0-23-1001245.1_1 90 1.65890684742168 1 
FJDMATH.0 xh-zu-0-23-1001245.2_2 50 0.371966843277733 1 
FJDMATH.0 xh-zu-0-23-1001245.3_3 1 -1.2045346617986 1 
FJDMATH.0 xh-zu-0-23-1001245.4_4 91 1.69108034752528 1 
FJDMATH.0 xh-zu-0-78-1000664.1_1 20 -0.593238159830227 1 
FJDMATH.0 xh-zu-0-78-1000664.2_2 45 0.21109934275974 1 
FJDMATH.0 xh-zu-0-78-1000664.3_3 70 1.01543684534971 1 
FJDMATH.0 xh-zu-0-78-1000664.4_4 85 0.209325513046021 1 
FJDMATH.0 xh-zu-0-78-1000664.5_5 1 -1.2045346617986 1 
FJDMATH.0 xh-zu-1-35-1001451.1_1 65 0.854569344831713 1 
FJDMATH.0 xh-zu-1-35-1001451.2_2 31 -0.239329658690642 1 
FJDMATH.0 xh-zu-1-98-1001431.1_1 31 -0.239329658690642 1 
FJDMATH.0 xh-zu-1-98-1001431.2_2 31 -0.239329658690642 1 
FJDMATH.0 xh-zu-1-24-1000096.1_1 11 -0.882799660762615 1 
FJDMATH.0 xh-zu-1-24-1000096.2_2 50 0.371966843277733 1 
FJDMATH.0 xh-zu-1-24-1000096.3_3 50 0.371966843277733 1 
FJDMATH.0 xh-zu-1-24-1000096.4_4 45 0.21109934275974 1 
FJDMATH.0 xh-zu-1-114-1000079.1_1 55 0.532834343795726 1 
FJDMATH.0 xh-zu-1-114-1000079.2_2 20 -0.593238159830227 1 
FJDMATH.0 xh-zu-1-137-1001206.1_1 2 -1.172361161695 1 
FJDMATH.0 xh-zu-1-137-1001206.2_2 15 -0.75410566034822 1 
FJDMATH.0 xh-zu-1-137-1001206.3_3 50 0.371966843277733 1 
FJDMATH.0 xh-zu-1-137-1001206.4_4 89 1.62673334731808 1 
FJDMATH.0 xh-zu-2-85-1000793.1_1 65 0.854569344831713 1 
FJDMATH.0 xh-zu-2-85-1000793.2_2 20 -0.593238159830227 1 
FJDMATH.0 xh-zu-2-62-1001675.1_1 31 -0.239329658690642 1 
FJDMATH.0 xh-zu-2-62-1001675.2_2 71 1.04761034545331 1 
FJDMATH.0 xh-zu-2-62-1001675.3_3 89 1.62673334731808 1 
FJDMATH.0 xh-zu-2-108-1001344.1_1 9 -0.947146660969812 1 
FJDMATH.0 xh-zu-2-108-1001344.2_2 89 1.62673334731808 1 
FJDMATH.0 xh-zu-2-108-1001344.3_3 8 -0.979320161073411 1 
FJDMATH.0 xh-zu-2-43-1000104.1_1 20 -0.593238159830227 1 
FJDMATH.0 xh-zu-2-43-1000104.2_2 10 -0.914973160866214 1 
FJDMATH.0 xh-zu-2-43-1000104.3_3 31 -0.239329658690642 1 
FJDMATH.0 xh-zu-2-43-1000104.4_4 31 -0.239329658690642 1 
FJDMATH.0 xh-zu-3-12-1001402.1_1 11 -0.882799660762615 1 
FJDMATH.0 xh-zu-3-12-1001402.2_2 20 -0.593238159830227 1 
FJDMATH.0 xh-zu-3-12-1001402.3_3 8 -0.979320161073411 1 
FJDMATH.0 xh-zu-3-26-1001230.1_1 31 -0.239329658690642 1 
FJDMATH.0 xh-zu-3-26-1001230.2_2 45 0.21109934275974 1 
FJDMATH.0 xh-zu-3-26-1001230.3_3 70 1.01543684534971 1 
FJDMATH.0 xh-zu-3-26-1001230.4_4 31 -0.239329658690642 1 
FJDMATH.0 xh-zu-3-96-1000573.1_1 15 -0.75410566034822 1 
FJDMATH.0 xh-zu-3-96-1000573.2_2 15 -0.75410566034822 1 
FJDMATH.0 xh-zu-3-96-1000573.3_3 15 -0.75410566034822 1 
FJDMATH.0 xh-zu-5-135-1000389.1_1 85 1.49803934690369 1 
FJDMATH.0 xh-zu-5-135-1000389.2_2 8 -0.979320161073411 1 
FJDMATH.0 xh-zu-5-135-1000389.3_3 5 -1.07584066138421 1 
FJDMATH.0 xh-zu-5-42-1001494.1_1 31 -0.239329658690642 1 
FJDMATH.0 xh-zu-5-42-1001494.2_2 65 0.854569344831713 1 
FJDMATH.0 xh-zu-5-42-1001494.3_3 31 -0.239329658690642 1 
FJDMATH.0 xh-zu-5-42-1001494.4_4 70 1.01543684534971 1 
FJDMATH.0 xh-zu-5-16-1000957.1_1 100 1.98064184845767 1 
FJDMATH.0 xh-zu-5-16-1000957.2_2 100 1.98064184845767 1 
FJDMATH.0 xh-zu-5-16-1000957.3_3 90 1.65890684742168 1 
