ICL	0.22628337546751764
Online-W	0.5991314984858036
metricsystem2	0.5427533149934873
metricsystem4	0.5420669498490894
nuclear_trans	0.4216100018333919
UEdin	0.5590610204435543
eTranslation	0.5527723688899935
Online-G	0.4800003196992084
UF	0.5532382804669901
metricsystem1	0.5612301842408057
BUPT_rush	0.4093077948406161
Facebook-AI	0.6131848477072523
Manifold	0.5420904118259123
Online-A	0.5555801667113177
P3AI	0.5448862853090087
VolcTrans-AT	0.5635845620397054
VolcTrans-GLAT	0.5968435833624707
WeChat-AI	0.5910758639643054
happypoet	0.4956510655931429
metricsystem5	0.5362741387897206
Online-B	0.549137338704082
HuaweiTSC	0.5610538104441233
Online-Y	0.5023422527560097
Nemo	0.576388213108712
metricsystem3	0.529433764446668
ref-A	0.5461690899434531
ref-B	0.6136073855211039
ref-C	0.5898134028799311
