RAW.SCR Z.SCR N SYS N.ALL 
66.202850877193 0.0322560824643618 912 Facebook-AI.4 1059 
68.6036585365854 0.0457851573133973 861 NiuTrans.12 1061 
61.4656626506024 -0.0307426564729429 830 MiSS.13 957 
67.8095238095238 0.0328075805077284 903 KwaiNLP.2 1137 
73.8463958810069 0.140507825989061 874 HuaweiTSC.5 995 
66.8497854077253 0.0108930283218745 932 capitalmarvel.1 1103 
63.5156612529002 0.025378007011519 862 XMU.10 1026 
65.0815217391304 0.0822027281945276 920 IIE-MT.0 1070 
59.0109158679446 -0.0796673776469312 939 Online-A.8 1093 
54.966935483871 -0.140068723140109 930 Online-G.9 1139 
62.1500569476082 -0.189014975227144 878 Online-Y.6 1049 
66.6665797705944 -0.0389424788570664 959 Online-W.15 1142 
59.2853260869565 -0.0622432786478734 920 WeChat-AI.11 1077 
60.8672316384181 0.00112636640641959 885 Online-B.7 994 
55.4149888143177 -0.192574921199547 894 Illini.3 1010 
64.8400305188199 -0.156535941462117 983 movelikeajaguar.14 1143 
