71.9 0.126 944 1266 Borderline.4 
73.5 0.124 1000 1339 Online-A.12 
78.6 0.122 989 1289 Online-W.3 
79.5 0.113 959 1270 UF.15 
73.2 0.106 979 1309 VolcTrans-AT.0 
77.5 0.1 957 1299 Facebook-AI.16 
75.8 0.068 961 1379 ICL.5 
73.4 0.048 937 1266 Online-G.14 
69.7 0.016 980 1236 Online-B.11 
71.3 0.016 994 1396 Online-Y.1 
71.6 0.01 932 1184 VolcTrans-GLAT.10 
69.6 0.007 961 1212 P3AI.18 
70.6 -0.008 967 1261 SMU.17 
73.1 -0.008 979 1387 UEdin.9 
69.1 -0.01 1000 1383 Nemo.7 
69.9 -0.035 948 1343 Manifold.2 
67 -0.043 972 1278 Watermelon.13 
71.8 -0.061 950 1212 happypoet.8 
66.8 -0.081 976 1184 HUMAN.0 
66 -0.12 1000 1225 HuaweiTSC.6 
