RAW.SCR Z.SCR N SYS N.ALL 
68.7762474012474 0.118232800294948 962 Online-B.8 1173 
62.4486158513462 -0.0317225750951825 879 NiuTrans.10 1174 
60.1231958762887 -0.0305233904714911 970 P3AI.9 1250 
59.5672872340426 -0.111625601264299 940 Manifold.1 1292 
56.9156526548673 -0.266905821841805 904 TWB.0 1211 
65.3395495495495 0.0291844945441168 925 HuaweiTSC.4 1259 
58.1791623578077 -0.204745865952731 967 UEdin.7 1310 
66.6039959016394 0.0617923095470972 976 TRANSSION.6 1358 
65.2281526548673 0.00198928738918957 904 MS-EgDC.13 1167 
60.397695035461 -0.173230047608126 940 AMU.3 1339 
66.4527665317139 0.0586068363444578 988 ZMT.12 1240 
68.9668769716088 0.0585103650254699 951 GTCOM.2 1213 
63.4827494692144 -0.0896932845963067 942 Online-Y.5 1131 
74.4209100758397 0.247970474967621 923 Facebook-AI.11 1204 
