77 0.039 1578 1877 KwaiNLP.18 
76 -0.072 1552 1835 NJUSC_TSC.3 
75.6 0.031 1708 2053 DIDI-NLP.0 
75 0.042 1688 1876 NiuTrans.21 
74.1 0.019 1543 1801 HUMAN.0 
74 -0.001 1459 1710 P3AI.4 
73.6 -0.042 1545 1753 Online-B.13 
73.5 -0.05 1602 1882 ZengHuiMT.7 
73.1 -0.031 1453 1720 IIE-MT.6 
73 -0.062 1548 1843 HuaweiTSC.20 
72.9 -0.087 1633 1917 Online-W.10 
72.8 -0.032 1599 1874 Machine_Translation.19 
72.6 -0.026 1593 1943 ICL.11 
72.1 -0.082 1633 1896 Online-G.15 
71.7 0.016 1559 1854 HappyNewYear.16 
70.7 -0.036 1429 1751 yyds.9 
70.6 -0.034 1545 1851 SMU.2 
70.5 -0.023 1477 1667 Borderline.1 
70.1 -0.103 1472 1724 UF.22 
70.1 -0.037 1531 1787 Facebook-AI.5 
70.1 -0.029 1582 1832 MiSS.8 
69 -0.174 1581 1907 Online-Y.12 
67.6 -0.068 1679 1968 XMU.17 
66.7 -0.106 1682 1947 Online-A.14 
