RAW.SCR Z.SCR N SYS N.ALL 
79.4590719499479 0.113063354529469 959 UF.15 1270 
69.9247538677918 -0.0349530661866636 948 Manifold.2 1343 
73.465 0.124025276654059 1000 Online-A.12 1339 
71.8192105263158 -0.0610107600481254 950 happypoet.8 1212 
70.5757497414685 -0.00787320548487065 967 SMU.17 1261 
66.7534153005465 -0.0809758327833253 976 HUMAN.0 1184 
69.6066597294485 0.00706516617466993 961 P3AI.18 1212 
71.2937625754527 0.0156896443499936 994 Online-Y.1 1396 
65.96225 -0.119702556426496 1000 HuaweiTSC.6 1225 
73.1827545114062 0.106201050983288 979 VolcTrans-AT.0 1309 
77.5020898641588 0.0995577916980868 957 Facebook-AI.16 1299 
69.741156462585 0.0160750999507556 980 Online-B.11 1236 
71.5953147353362 0.0099867982309708 932 VolcTrans-GLAT.10 1184 
69.14175 -0.0104679351687654 1000 Nemo.7 1383 
67.0187757201646 -0.0425781162912556 972 Watermelon.13 1278 
75.8377558099202 0.0675487941725482 961 ICL.5 1379 
73.1335546475996 -0.00843053071218203 979 UEdin.9 1387 
78.6208291203236 0.121864279635078 989 Online-W.3 1289 
73.4023479188901 0.0480897336072003 937 Online-G.14 1266 
71.8887711864407 0.12608419676831 944 Borderline.4 1266 
