73.8 0.141 874 995 HuaweiTSC.5 
68.6 0.046 861 1061 NiuTrans.12 
67.8 0.033 903 1137 KwaiNLP.2 
66.8 0.011 932 1103 capitalmarvel.1 
66.7 -0.039 959 1142 Online-W.15 
66.2 0.032 912 1059 Facebook-AI.4 
65.1 0.082 920 1070 IIE-MT.0 
64.8 -0.157 983 1143 movelikeajaguar.14 
63.5 0.025 862 1026 XMU.10 
62.2 -0.189 878 1049 Online-Y.6 
61.5 -0.031 830 957 MiSS.13 
60.9 0.001 885 994 Online-B.7 
59.3 -0.062 920 1077 WeChat-AI.11 
59 -0.08 939 1093 Online-A.8 
55.4 -0.193 894 1010 Illini.3 
55 -0.14 930 1139 Online-G.9 
